,user_ID,group_ID,runtime,container0,container1,container2
19651,86,87,23111.0,0.00391,5.54518,256.0
19652,86,87,24548.0,0.03125,3.46574,32.0
19653,86,87,17.0,0.04545,3.09104,22.0
19654,86,87,135.0,0.04545,3.09104,22.0
19655,86,87,1128.0,0.01562,4.15888,64.0
19657,86,87,8916.0,0.00195,6.23832,512.0
19658,104,105,39892.0,0.00833,4.78749,120.0
19661,86,87,13009.0,0.00781,4.85203,128.0
19662,86,87,13023.0,0.00781,4.85203,128.0
19663,143,144,15.0,0.01333,4.31749,75.0
19664,72,72,1.0,1.0,0.0,1.0
19665,72,72,3.0,1.0,0.0,1.0
19666,72,72,4.0,0.5,0.69315,2.0
19667,72,72,18.0,0.1,2.30259,10.0
19668,72,72,11.0,1.0,0.0,1.0
19669,72,72,4.0,0.5,0.69315,2.0
19670,72,72,73.0,0.1,2.30259,10.0
19671,72,72,1.0,0.1,2.30259,10.0
19672,72,72,10.0,1.0,0.0,1.0
19673,72,72,13.0,0.1,2.30259,10.0
19674,72,72,2.0,0.25,1.38629,4.0
19675,72,72,10.0,1.0,0.0,1.0
19676,72,72,1.0,0.2,1.60944,5.0
19677,72,72,201.0,0.5,0.69315,2.0
19678,72,72,55.0,0.16667,1.79176,6.0
19679,72,72,10.0,1.0,0.0,1.0
19680,72,72,10.0,1.0,0.0,1.0
19681,72,72,10.0,1.0,0.0,1.0
19682,72,72,10.0,0.5,0.69315,2.0
19683,72,72,10.0,0.5,0.69315,2.0
19684,72,72,11.0,0.5,0.69315,2.0
19685,72,72,11.0,0.5,0.69315,2.0
19686,72,72,10.0,0.5,0.69315,2.0
19687,72,72,31.0,1.0,0.0,1.0
19688,72,72,67.0,1.0,0.0,1.0
19689,72,72,31.0,1.0,0.0,1.0
19691,104,105,50391.0,0.01667,4.09434,60.0
19692,104,105,72.0,0.00556,5.19296,180.0
19693,46,46,45641.0,0.00311,5.77455,322.0
19694,104,105,40005.0,0.00833,4.78749,120.0
19695,104,105,15.0,0.00833,4.78749,120.0
19696,86,87,11.0,0.0625,2.77259,16.0
19697,86,87,14.0,0.0625,2.77259,16.0
19698,46,46,41982.0,0.00311,5.77455,322.0
19700,86,87,49426.0,0.00781,4.85203,128.0
19702,104,105,872.0,0.00556,5.19296,180.0
19703,86,87,10.0,0.0625,2.77259,16.0
19704,86,87,7.0,0.0625,2.77259,16.0
19709,86,87,2906.0,0.0625,2.77259,16.0
19710,104,105,48923.0,0.01667,4.09434,60.0
19711,86,87,1490.0,0.0625,2.77259,16.0
19712,86,87,1669.0,0.0625,2.77259,16.0
19713,86,87,63.0,0.02326,3.7612,43.0
19714,86,87,704.0,0.0625,2.77259,16.0
19715,86,87,712.0,0.0625,2.77259,16.0
19716,86,87,725.0,0.0625,2.77259,16.0
19717,86,87,663.0,0.0625,2.77259,16.0
19718,86,87,56.0,0.0625,2.77259,16.0
19719,86,87,836.0,0.02326,3.7612,43.0
19720,86,87,1540.0,0.0625,2.77259,16.0
19721,86,87,2685.0,0.0625,2.77259,16.0
19722,86,87,2361.0,0.0625,2.77259,16.0
19723,106,107,4314.0,0.16667,1.79176,6.0
19724,46,46,45580.0,0.00311,5.77455,322.0
19725,86,87,633.0,0.00585,5.14166,171.0
19729,104,105,39926.0,0.00833,4.78749,120.0
19730,86,87,2798.0,0.09091,2.3979,11.0
19731,46,46,41810.0,0.00311,5.77455,322.0
19732,86,87,144.0,0.02326,3.7612,43.0
19733,86,87,2077.0,0.0625,2.77259,16.0
19735,86,87,1170.0,0.125,2.07944,8.0
19736,86,87,3305.0,0.125,2.07944,8.0
19737,104,105,12051.0,0.00833,4.78749,120.0
19738,86,87,1784.0,0.125,2.07944,8.0
